# Source: World Bank Open Data (https://data.worldbank.org/)
# License: CC BY 4.0
# Year: 2022
# Columns: country_name, country_code, region, income_group, population, gdp_usd, gdp_per_capita_usd, life_expectancy, land_area_sqkm, surface_area_sqkm, population_density, gni_per_capita_usd, unemployment_pct, internet_users_pct
country_name,country_code,region,income_group,population,gdp_usd,gdp_per_capita_usd,life_expectancy,land_area_sqkm,surface_area_sqkm,population_density,gni_per_capita_usd,unemployment_pct,internet_users_pct
Sub-Saharan Africa (IDA & IBRD countries),TSS,Aggregates,Aggregates,1228187451,2290209566620.26,1864.70686111924,61.8569116778883,23902664.3,24339986.5,51.3828682687896,1804.33502197806,6.08211610820711,31.1
Trinidad and Tobago,TTO,Latin America & Caribbean ,High income,1365805,28341164301.126,20750.5202434652,73.331,5130,5130,266.238791423002,16100,4.383,81.69760132
Tunisia,TUN,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,12119334,44929920092.7955,3707.29283414381,76.05,155360,163610,78.0080715756952,3890,15.3,
Turkiye,TUR,Europe & Central Asia,Upper middle income,84979913,926097476913.818,10897.8397861365,77.591,769630,785350,110.416580694619,10870,10.465,83.43716576
Tuvalu,TUV,East Asia & Pacific,Upper middle income,9992,54104146.3198082,5414.74642912412,66.852,30,30,333.066666666667,7460,,
Tanzania,TZA,Sub-Saharan Africa ,Lower middle income,64711821,75749121846.9703,1207.52062988281,66.879,885800,947300,73.0546635809438,1210,1.573,26.86059952
Uganda,UGA,Sub-Saharan Africa ,Low income,47312719,45565333210.9108,963.067314117178,67.675,200520,241550,235.950124675843,930,2.885,9.636899948
Ukraine,UKR,Europe & Central Asia,Upper middle income,41048766,161989520721.19,4199.6708984375,72.658,579400,603550,70.8470245081118,3930,,80.47429657
Upper middle income,UMC,Aggregates,Aggregates,,,,,,,,,,
Uruguay,URY,Latin America & Caribbean ,High income,3390913,71240669088.0587,21009.2883798725,76.468,175020,176220,19.3744314935436,18050,7.877,89.87304314
United States,USA,North America,High income,333996304,26054614000000,78008.6895811877,77.4341463414634,9147420,9831510,36.5126236687503,77230,3.65,92.72850037
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,34938955,94286355836.1594,2698.60262953369,72.147,440652,448924,79.2892236957962,2620,4.456,83.90000012
St. Vincent and the Grenadines,VCT,Latin America & Caribbean ,Upper middle income,102046,989188888.888889,9693.55867833025,71.191,390,390,261.65641025641,9520,19.277,74.75479889
"Venezuela, RB",VEN,Latin America & Caribbean ,Lower middle income,28213017,89013251020.9831,3155.04190923584,72.566,882050,912050,31.9857343688,2260,5.646,75.82180023
British Virgin Islands,VGB,Latin America & Caribbean ,High income,38319,,,77.177,150,150,255.46,,,
Virgin Islands (U.S.),VIR,Latin America & Caribbean ,High income,105413,4672000000,44320.909185774,80.319512195122,350,350,301.18,,12.092,
Viet Nam,VNM,East Asia & Pacific,Upper middle income,99680655,413445230668.578,4147.69777213621,74.502,313429,331340,318.032648542413,3980,1.57,78.58999918
Vanuatu,VUT,East Asia & Pacific,Lower middle income,313046,1151863789.76624,3679.53524327491,71.302,12190,12190,25.6805578342904,4340,5.077,
World,WLD,Aggregates,Aggregates,7988550201,102862471365575,12876.2377124072,72.9689585478052,129762630.687,140540014.505,61.5627947638419,13009.7774958884,5.23462796913747,67
Samoa,WSM,East Asia & Pacific,Upper middle income,215261,889554711.842341,4132.44717734444,71.55,2780,2840,77.4320143884892,4130,5.048,
Kosovo,XKX,Europe & Central Asia,Upper middle income,1768096,9367633202.54673,5298.1473871027,77.623,,,,5610,,
Sub-Saharan Africa excluding South Africa and Nigeria,XZN,Aggregates,Aggregates,,,,,,,,,,
"Yemen, Rep.",YEM,"Middle East, North Africa, Afghanistan & Pakistan",Low income,38222876,,,67.952,527970,527970,72.395924010834,,17.224,
South Africa,ZAF,Sub-Saharan Africa ,Upper middle income,62378410,407596043067.885,6534.24867783397,65.454,1213090,1219090,51.4210899438624,6530,33.268,78.29319763
Zambia,ZMB,Sub-Saharan Africa ,Lower middle income,20152938,29163782140.4858,1447.12310138035,65.279,743390,752610,27.1095091405588,1170,5.993,15
Zimbabwe,ZWE,Sub-Saharan Africa ,Lower middle income,16069056,40757585308.5016,2536.40197087505,62.36,386850,390760,41.5382086079876,2580,10.087,36.25650024
